net,length_um
_321_,295.94
_343_,282.13
_345_,257.045
_320_,242.61
_342_,241.04
_220_,236.41
_124_,235.1
_300_,217.6
_346_,209.21
_227_,209.055
_344_,207.415
_239_,198.72
_264_,171.23
_134_,170.81
clknet_2_2__leaf_clk,169.52
_110_,165.07
_224_,164.37
clknet_2_0__leaf_clk,156.72
_114_,156.28
clknet_2_3__leaf_clk,150.62
clknet_2_1__leaf_clk,143.5
_275_,142.99
net25,140.52
_215_,132.93
_122_,131.46
_123_,129.32
net13,128.2
_216_,122.2
_341_,116.44
u_core.Q\[7\],114.92
u_core.Q\[2\],111.94
_111_,111.1
clk,107.48
net31,98.02
_322_,95.02
u_core.Q\[5\],92.96
u_core.M\[7\],91.08
clknet_0_clk,91.05
u_core.M\[4\],90.58
u_core.M\[6\],90.4
u_core.Q_1,90.19
u_core.M\[5\],86.46
u_core.A\[3\],85.335
_133_,84.02
_217_,82.72
u_core.M\[3\],81.88
_109_,81.76
u_core.Q\[3\],80.48
net18,78.48
_310_,71.76
_161_,67.39
net1,67.36
_189_,66.86
u_core.Q\[6\],63.96
_112_,60.88
u_core.A\[7\],60.28
_282_,59.12
_299_,56.76
net26,55.36
net10,55.02
u_core.A\[8\],54.38
u_core.M\[2\],54.22
net15,53.82
_120_,52.54
_154_,52.32
_190_,51.19
net11,50.26
_121_,50.25
u_core.A\[4\],50
_240_,49.395
_127_,49.34
_131_,49.33
_199_,49.12
net9,47.96
net21,46.9
u_core.A\[6\],45.925
net16,45.16
u_core.Q\[1\],45.12
u_core.M\[0\],42.86
_292_,42.3
_278_,40.52
_135_,40.03
_200_,39.4
u_core.A\[9\],38.52
u_core.count\[2\],37.78
u_core.A\[5\],37.32
u_core.A\[11\],36.3
net36,36.29
u_core.M\[1\],36.05
_295_,35.56
_116_,35.31
_202_,35.26
_311_,34.58
_286_,33.82
net12,32.48
_118_,32
_219_,31.92
u_core.A\[2\],31.34
_207_,31.07
_166_,29.76
_113_,29.46
_142_,29.14
rst,28.01
u_core.A\[14\],27.96
_191_,27.94
u_core.A\[10\],27.62
u_core.count\[1\],27.6
u_core.Q\[0\],27.02
_139_,26.8
_162_,26.7
net24,26.26
_211_,26.02
_140_,25.94
net14,25.12
_338_,24.88
_168_,24.4
_126_,23.92
u_core.A\[0\],23.9
multiplier[2],23.77
u_core.Q\[4\],23.76
_192_,23.44
u_core.count\[0\],23.44
_317_,23.34
net4,23.24
_178_,23.16
_212_,23.06
_249_,23.04
